Education_Level,Time_since_promotion,Growth_Rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,Attrition_rate,Ratio_Age_Time_of_service
4,2,46,0,2,3.0,4.0,0.0672,0.5454545454545454
2,1,21,0,1,4.0,4.0,0.0987,0.6309498726224453
3,4,58,1,3,4.0,4.0,0.0031,0.11904761904761904
2,4,27,1,3,4.0,3.0,0.0197,0.20833333333333334
4,2,65,2,2,1.0,1.0,0.259,0.3378121815100149
2,4,25,0,3,4.0,2.0,0.6052,0.39473684210526316
3,3,26,2,2,5.0,2.0,0.0933,0.3953488372093023
1,3,42,1,4,4.0,2.0,0.2806,0.4915254237288136
4,2,23,2,4,7.0,1.0,0.0749,0.13636363636363635
2,1,38,0,3,8.0,3.0,0.4713,0.24324324324324326
2,4,42,0,4,9.0,2.0,0.2781,0.20833333333333334
3,4,20,2,4,4.0,1.0,0.2246,0.5192307692307693
4,2,40,1,1,9.0,2.0,0.1543,0.45
3,4,39,2,2,5.0,3.0,0.5284,0.6814258624322409
1,3,67,1,2,7.0,2.0,0.1485,0.1111111111111111
2,4,74,0,2,6.0,1.0,0.0544,0.5517241379310345
2,3,65,1,3,3.0,1.0,0.1543,0.26666666666666666
4,2,54,1,3,8.0,3.0,0.4956,0.32653061224489793
5,1,53,1,3,8.0,1.0,0.0564,0.5
4,1,48,1,3,8.0,2.0,0.1544,0.28888888888888886
5,4,50,1,2,7.0,4.0,0.072,0.5576923076923077
1,1,30,1,2,6.0,4.0,0.0974,0.14814814814814814
3,4,56,1,4,5.0,1.0,0.2535,0.20689655172413793
4,4,62,1,2,9.0,1.0,0.096,0.6290322580645161
3,1,69,1,4,5.0,1.0,0.1642,0.10095197961959125
2,1,74,1,3,7.0,1.0,0.1338,0.20833333333333334
5,2,28,1,2,5.0,3.0,0.0369,0.5106382978723404
3,3,49,0,2,10.0,3.0,0.045,0.13636363636363635
2,1,37,2,1,8.0,2.0,0.1704,0.05
3,1,57,1,1,5.0,2.0,0.0879,0.3333333333333333
3,1,49,1,1,6.0,2.0,0.6367,0.6451612903225806
3,1,30,1,5,5.0,2.0,0.1474,0.7823778420518321
3,1,24,1,3,7.0,1.0,0.0164,0.6071428571428571
3,1,46,1,3,7.0,1.0,0.1924,0.38461538461538464
2,3,20,1,3,5.0,1.0,0.0436,0.603448275862069
3,3,32,1,3,5.0,3.0,0.0579,0.20689655172413793
4,2,37,0,2,10.0,2.0,0.1462,0.46153846153846156
5,3,39,1,3,6.0,2.0,0.2743,0.3559322033898305
3,3,66,1,3,9.0,3.0,0.5188,0.2
2,3,58,0,3,8.0,1.0,0.0465,0.34285714285714286
2,1,52,1,1,5.0,3.0,0.1542,0.17857142857142858
3,4,71,2,3,5.0,1.0,0.2949,0.3280939337636715
2,4,28,0,2,6.0,1.0,0.6259,0.18518518518518517
2,4,28,1,4,6.0,3.0,0.0493,0.6140350877192983
4,3,46,1,2,7.0,3.0,0.0447,0.13636363636363635
3,2,53,1,5,6.0,1.0,0.1466,0.20833333333333334
3,1,27,0,1,8.0,4.0,0.4671,0.05
4,2,74,1,5,6.0,1.0,0.1279,0.14285714285714285
3,1,65,1,3,4.0,2.0,0.2352,0.17391304347826086
3,3,44,1,2,3.0,2.0,0.163,0.6206896551724138
3,3,24,1,4,4.0,3.0,0.0111,0.3888888888888889
3,1,56,0,1,1.0,2.0,0.0743,0.21428571428571427
1,1,59,1,3,4.0,3.0,0.0943,0.2978723404255319
3,4,34,1,4,10.0,4.0,0.2816,0.17857142857142858
3,0,59,1,3,6.0,2.0,0.0953,0.0
5,2,74,1,1,4.0,4.0,0.2699,0.3333333333333333
3,0,70,1,3,5.0,4.0,0.1344,0.0
4,2,68,1,1,8.0,2.0,0.1545,0.1111111111111111
1,0,44,0,5,3.0,2.0,0.1353,0.0
3,4,72,2,4,8.0,2.0,0.1107,0.2702702702702703
3,1,40,1,3,7.0,1.0,0.2425,0.05
1,3,20,1,3,7.0,3.0,0.1097,0.15625
4,1,37,1,4,6.0,3.0,0.0569,0.4290459133832628
4,2,55,1,3,8.0,2.0,0.5066,0.5106382978723404
3,2,50,0,5,6.0,2.0,0.0213,0.403807918478365
4,1,24,1,3,6.0,3.0,0.0202,0.25
3,4,34,1,2,10.0,2.0,0.0374,0.6333333333333333
3,2,22,1,3,6.0,1.0,0.1514,0.17391304347826086
3,2,44,0,2,2.0,2.0,0.0943,0.40476190476190477
4,4,42,0,3,6.0,3.0,0.281,0.12195121951219512
3,3,70,1,4,3.0,2.0,0.2424,0.20833333333333334
2,2,27,1,4,6.0,2.0,0.141,0.13636363636363635
4,2,40,1,3,8.0,3.0,0.1756,0.29411764705882354
3,4,23,1,2,8.0,2.0,0.1069,0.46938775510204084
4,4,57,2,4,1.0,1.0,0.1756,0.2972972972972973
3,2,63,1,3,7.0,3.0,0.0696,0.3333333333333333
5,3,30,2,2,5.0,3.0,0.0422,0.15142796942938686
4,3,61,2,3,8.0,2.0,0.0206,0.09375
2,3,21,0,2,7.0,1.0,0.2621,0.44680851063829785
3,4,48,1,3,5.0,4.0,0.2275,0.49122807017543857
1,3,70,1,3,6.0,1.0,0.4005,0.37777777777777777
1,0,49,1,1,8.0,4.0,0.6315,0.0
3,2,24,1,5,8.0,1.0,0.1239,0.13636363636363635
4,3,51,0,1,8.0,2.0,0.1081,0.403807918478365
1,4,50,2,2,4.0,1.0,0.212,0.2571428571428571
2,3,39,2,2,8.0,4.0,0.2304,0.21428571428571427
1,1,48,0,4,6.0,3.0,0.1164,0.3142857142857143
1,4,54,1,3,8.0,2.0,0.0509,0.3559322033898305
3,3,27,1,4,8.0,3.0,0.1319,0.2574050803339018
3,2,42,0,1,8.0,1.0,0.2947,0.17391304347826086
1,2,58,1,3,8.0,1.0,0.1818,0.3333333333333333
3,0,71,0,1,8.0,2.0,0.123,0.0
3,1,22,0,1,8.0,1.0,0.2376,0.05
2,4,22,2,3,5.0,1.0,0.012,0.18518518518518517
3,2,58,1,3,10.0,4.0,0.1261,0.546875
3,4,56,1,4,8.0,2.0,0.2447,0.15142796942938686
3,3,22,1,3,5.0,4.0,0.1754,0.40540540540540543
3,2,72,2,3,6.0,3.0,0.252,0.09523809523809523
1,1,32,1,2,7.0,1.0,0.0495,0.3559322033898305
4,2,66,0,2,7.0,4.0,0.1532,0.13636363636363635
4,2,52,1,1,9.0,1.0,0.1879,0.09523809523809523
2,3,58,1,2,4.0,2.0,0.0884,0.1111111111111111
2,1,34,0,3,8.0,3.0,0.215,0.6190476190476191
3,3,47,2,4,9.0,3.0,0.0861,0.5552358879077518
3,2,29,1,2,6.0,3.0,0.1722,0.09523809523809523
1,1,24,1,1,5.0,1.0,0.1249,0.5552358879077518
3,4,54,0,4,7.0,3.0,0.4062,0.17391304347826086
3,4,67,1,5,7.0,3.0,0.037,0.43333333333333335
3,4,64,1,2,4.0,3.0,0.15,0.35
3,1,47,0,5,7.0,4.0,0.0545,0.05
3,3,37,1,2,8.0,1.0,0.1218,0.13636363636363635
3,2,74,0,2,1.0,3.0,0.2899,0.09523809523809523
4,4,28,0,2,6.0,3.0,0.0415,0.28888888888888886
3,3,37,0,2,7.0,4.0,0.036,0.17391304347826086
2,4,72,1,1,9.0,3.0,0.1165,0.24
4,2,56,1,3,3.0,2.0,0.2951,0.09523809523809523
3,2,48,2,3,6.0,1.0,0.0009,0.5555555555555556
4,1,30,1,2,9.0,3.0,0.0014,0.05
5,0,67,1,4,6.0,1.0,0.2454,0.0
4,1,55,0,2,8.0,3.0,0.1806,0.5932203389830508
3,4,34,0,2,5.0,1.0,0.0817,0.3829787234042553
1,3,45,1,4,10.0,2.0,0.2975,0.15384615384615385
4,3,38,1,2,6.0,3.0,0.0504,0.11538461538461539
3,2,49,1,3,9.0,1.0,0.017,0.46551724137931033
4,4,67,1,2,5.0,1.0,0.0159,0.35555555555555557
3,1,29,1,4,4.0,1.0,0.5347,0.46774193548387094
4,4,26,1,3,5.0,1.0,0.0182,0.2777777777777778
3,2,58,2,2,4.0,3.0,0.1167,0.07692307692307693
4,1,27,0,3,8.0,4.0,0.1945,0.5
4,3,47,2,3,6.0,2.0,0.1189,0.2857142857142857
2,3,49,1,2,6.0,1.0,0.2636,0.35294117647058826
3,1,67,2,3,3.0,3.0,0.0526,0.23333333333333334
4,2,31,2,2,5.0,1.0,0.0587,0.4489795918367347
1,3,58,1,3,10.0,2.0,0.6304,0.22686549453157448
3,4,21,1,2,7.0,3.0,0.0696,0.19148936170212766
2,3,40,0,3,8.0,1.0,0.1402,0.09375
3,2,70,1,5,9.0,2.0,0.0703,0.5686274509803921
3,1,50,1,2,4.0,4.0,0.0182,0.5333333333333333
4,2,54,0,3,8.0,2.0,0.0324,0.20833333333333334
2,3,60,0,1,6.0,2.0,0.1832,0.13636363636363635
5,1,56,1,5,5.0,2.0,0.1871,0.21428571428571427
3,2,23,2,1,5.0,5.0,0.0213,0.10095197961959125
4,1,55,1,2,5.0,3.0,0.171,0.12121212121212122
4,1,59,1,2,5.0,4.0,0.4247,0.2558139534883721
4,4,71,1,4,5.0,2.0,0.1031,0.24
3,2,35,0,3,6.0,1.0,0.0102,0.25
5,1,48,2,2,1.0,3.0,0.1636,0.3877551020408163
5,2,52,0,3,9.0,4.0,0.2239,0.5254237288135594
3,1,34,1,1,6.0,1.0,0.1168,0.26666666666666666
5,3,45,1,2,6.0,2.0,0.0869,0.4444444444444444
2,3,61,1,2,6.0,1.0,0.7512,0.2926829268292683
2,3,57,0,4,5.0,3.0,0.183,0.3559322033898305
5,1,48,2,3,8.0,3.0,0.2922,0.34
3,3,42,1,5,4.0,3.0,0.1896,0.11363636363636363
3,2,40,0,3,3.0,4.0,0.1593,0.12903225806451613
1,3,57,2,2,1.0,1.0,0.1745,0.32653061224489793
3,2,24,0,3,8.0,4.0,0.2343,0.4307692307692308
3,4,42,1,2,5.0,4.0,0.1189,0.14634146341463414
3,3,41,0,3,6.0,1.0,0.1463,0.40625
5,1,56,1,3,7.0,2.0,0.1716,0.6
4,1,38,0,4,4.0,1.0,0.1124,0.39622641509433965
3,3,31,0,3,2.0,1.0,0.1309,0.2631578947368421
3,1,59,1,1,8.0,2.0,0.0686,0.30303030303030304
3,2,61,1,2,7.0,1.0,0.0147,0.14814814814814814
3,4,67,0,2,5.0,2.0,0.1584,0.4444444444444444
3,4,29,1,2,8.0,3.0,0.1561,0.38333333333333336
2,1,24,0,3,9.0,2.0,0.2972,0.37142857142857144
3,2,53,2,3,4.0,1.0,0.2363,0.1111111111111111
3,3,34,1,1,6.0,4.0,0.1609,0.4
3,1,56,0,3,9.0,2.0,0.0992,0.25
4,0,66,0,2,1.0,1.0,0.7346,0.0
5,2,28,1,3,4.0,3.0,0.1072,0.09523809523809523
5,3,62,0,2,4.0,2.0,0.2748,0.17142857142857143
3,2,20,1,2,7.0,1.0,0.2603,0.1111111111111111
4,1,41,1,3,4.0,3.0,0.2328,0.32432432432432434
1,2,31,1,3,6.0,1.0,0.1446,0.07571398471469343
3,3,30,0,2,8.0,3.0,0.2664,0.43859649122807015
3,2,24,1,4,7.0,3.0,0.2491,0.17142857142857143
2,2,64,0,3,6.0,1.0,0.0935,0.5263157894736842
3,2,73,0,1,4.0,3.0,0.1707,0.1875
4,3,55,2,2,7.0,2.0,0.0201,0.17391304347826086
3,4,23,2,5,6.0,3.0,0.752,0.25806451612903225
3,3,40,2,2,9.0,1.0,0.0518,0.13636363636363635
4,3,68,1,5,5.0,3.0,0.1577,0.41935483870967744
3,2,72,2,2,4.0,4.0,0.091,0.34615384615384615
4,4,54,2,4,8.0,1.0,0.0759,0.17857142857142858
4,2,22,0,2,4.0,1.0,0.4642,0.4634146341463415
3,2,21,1,5,4.0,1.0,0.2501,0.17857142857142858
4,4,51,0,3,5.0,2.0,0.1884,0.12618997452448905
4,3,34,1,4,8.0,1.0,0.0196,0.3333333333333333
1,2,34,0,2,5.0,2.0,0.2347,0.5535714285714286
3,2,61,0,3,7.0,3.0,0.0787,0.25
3,4,58,1,3,6.0,1.0,0.0084,0.53125
4,2,54,0,2,5.0,2.0,0.1692,0.15217391304347827
1,4,61,0,1,5.0,1.0,0.0485,0.15625
2,1,50,0,5,5.0,3.0,0.0088,0.36363636363636365
4,4,56,1,2,4.0,4.0,0.2704,0.20588235294117646
3,4,69,0,1,8.0,4.0,0.001,0.28205128205128205
5,3,67,1,3,8.0,3.0,0.0449,0.5245901639344263
4,4,36,1,2,8.0,3.0,0.0442,0.17391304347826086
3,1,23,1,3,5.0,2.0,0.1003,0.23333333333333334
2,4,66,0,3,2.0,3.0,0.0233,0.4230769230769231
1,0,43,1,3,8.0,3.0,0.1533,0.0
4,2,45,0,2,9.0,1.0,0.131,0.45161290322580644
3,4,36,1,3,9.0,3.0,0.0186,0.2019039592391825
4,3,31,0,5,8.0,1.0,0.7822,0.28125
4,4,23,1,3,4.0,3.0,0.1274,0.2307769685752223
4,2,41,1,3,8.0,1.0,0.7505,0.546875
3,1,56,0,2,7.0,3.0,0.2917,0.20833333333333334
2,3,29,0,4,4.0,4.0,0.0956,0.4
4,2,68,1,1,5.0,1.0,0.8526,0.38333333333333336
2,2,55,2,4,5.0,2.0,0.1822,0.18518518518518517
3,2,47,2,2,4.0,2.0,0.2912,0.3055555555555556
3,1,28,1,5,5.0,3.0,0.2628,0.06451612903225806
4,4,29,0,2,8.0,1.0,0.275,0.26
2,3,39,1,3,6.0,4.0,0.018,0.3191489361702128
4,2,74,1,3,5.0,2.0,0.2311,0.2019039592391825
5,1,24,0,3,10.0,4.0,0.2896,0.17073170731707318
5,4,66,0,1,9.0,3.0,0.1715,0.49206349206349204
4,1,56,2,3,7.0,3.0,0.1271,0.14814814814814814
4,4,73,1,3,5.0,3.0,0.0786,0.25
3,3,25,1,3,2.0,4.0,0.1708,0.6166666666666667
1,2,70,1,2,4.0,1.0,0.085,0.5076923076923077
3,3,64,1,3,2.0,4.0,0.0382,0.46808510638297873
3,3,48,0,4,6.0,1.0,0.2215,0.14814814814814814
2,2,50,2,1,4.0,2.0,0.0376,0.47619047619047616
4,1,35,1,2,6.0,1.0,0.2425,0.5178571428571429
2,2,36,1,3,4.0,4.0,0.0604,0.17391304347826086
4,1,74,0,2,6.0,5.0,0.1653,0.05
1,1,31,0,2,7.0,2.0,0.0976,0.09523809523809523
2,1,72,2,1,6.0,1.0,0.1029,0.6349206349206349
2,4,38,0,2,5.0,1.0,0.0689,0.24
3,4,69,0,3,7.0,1.0,0.2996,0.26666666666666666
1,2,70,1,4,5.0,2.0,0.0865,0.09523809523809523
4,2,21,2,1,7.0,3.0,0.0742,0.39473684210526316
4,3,51,1,4,6.0,2.0,0.6934,0.5166666666666667
3,2,27,2,2,7.0,1.0,0.9522,0.37735849056603776
3,1,23,0,3,6.0,4.0,0.1878,0.2641509433962264
3,1,48,1,2,4.0,1.0,0.0044,0.13636363636363635
3,4,68,0,3,8.0,5.0,0.2978,0.3617584912800782
3,3,47,2,1,4.0,2.0,0.0969,0.403807918478365
1,4,59,2,4,6.0,2.0,0.1475,0.28846153846153844
3,3,57,1,1,4.0,1.0,0.0356,0.1766659643342847
3,4,31,0,3,5.0,3.0,0.2612,0.7066638573371388
3,2,67,1,3,4.0,3.0,0.0212,0.09523809523809523
3,1,26,0,2,6.0,5.0,0.0797,0.5636363636363636
3,4,30,2,1,2.0,2.0,0.1473,0.5
1,4,61,1,1,10.0,1.0,0.0562,0.4772727272727273
1,3,35,1,3,7.0,2.0,0.1557,0.5384615384615384
3,0,57,2,3,6.0,3.0,0.0338,0.0
3,1,45,1,5,7.0,1.0,0.1835,0.5964912280701754
1,1,39,0,4,2.0,3.0,0.3497,0.425531914893617
4,2,39,1,1,5.0,3.0,0.1148,0.09523809523809523
4,2,61,1,3,8.0,1.0,0.2817,0.17857142857142858
3,3,56,0,5,2.0,1.0,0.1309,0.5185185185185185
2,3,34,1,3,5.0,1.0,0.1202,0.4317762637858998
5,1,47,1,2,7.0,4.0,0.0611,0.6
3,2,30,0,2,2.0,2.0,0.1581,0.17857142857142858
3,3,68,0,2,7.0,1.0,0.0639,0.11538461538461539
4,3,66,2,3,7.0,2.0,0.287,0.13636363636363635
4,1,37,2,5,6.0,3.0,0.1601,0.05
4,1,61,0,2,7.0,2.0,0.1556,0.18518518518518517
1,4,26,1,2,4.0,1.0,0.1511,0.17391304347826086
3,4,28,2,4,6.0,3.0,0.3518,0.17391304347826086
4,4,70,2,2,4.0,1.0,0.2334,0.2
2,2,51,1,2,9.0,2.0,0.1624,0.050475989809795625
4,3,27,2,4,4.0,2.0,0.2796,0.5714285714285714
3,4,43,1,4,5.0,3.0,0.1919,0.59375
3,1,25,0,1,6.0,4.0,0.0771,0.4634146341463415
4,2,73,1,2,8.0,3.0,0.6627,0.4290459133832628
4,4,22,1,2,5.0,2.0,0.5541,0.4307692307692308
1,1,24,2,3,7.0,1.0,0.011,0.09523809523809523
2,1,34,1,3,8.0,2.0,0.1135,0.3785699235734672
2,2,31,1,4,9.0,4.0,0.0591,0.2
5,1,51,1,3,3.0,2.0,0.0861,0.5106382978723404
3,1,22,0,3,5.0,4.0,0.3714,0.2903225806451613
4,4,71,0,3,7.0,1.0,0.0196,0.45454545454545453
2,3,25,1,4,6.0,2.0,0.1645,0.34615384615384615
5,2,55,1,5,4.0,4.0,0.1475,0.20588235294117646
3,4,52,1,1,8.0,1.0,0.1202,0.30303030303030304
4,0,72,0,3,4.0,1.0,0.19,0.0
3,4,62,1,3,6.0,4.0,0.1588,0.13333333333333333
4,4,73,1,3,8.0,1.0,0.8901,0.15384615384615385
5,1,24,2,2,8.0,2.0,0.1301,0.5666666666666667
3,4,57,1,2,5.0,2.0,0.0694,0.25
5,2,40,1,1,5.0,4.0,0.2708,0.07692307692307693
3,3,36,0,5,2.0,4.0,0.2101,0.35135135135135137
2,3,58,2,3,5.0,3.0,0.0812,0.3783783783783784
4,3,27,1,3,9.0,2.0,0.2447,0.3617584912800782
3,4,55,0,2,4.0,1.0,0.0082,0.14285714285714285
4,2,33,0,5,4.0,4.0,0.1582,0.09523809523809523
1,4,38,0,3,4.0,1.0,0.1723,0.18518518518518517
2,2,60,1,2,6.0,1.0,0.2644,0.2413793103448276
3,1,67,2,2,2.0,4.0,0.1304,0.18518518518518517
3,3,24,1,2,6.0,4.0,0.1985,0.17857142857142858
4,1,43,1,3,6.0,1.0,0.019,0.5
3,4,61,0,3,5.0,4.0,0.0278,0.43902439024390244
4,2,54,0,3,4.0,1.0,0.0214,0.425531914893617
3,2,23,1,2,6.0,2.0,0.1156,0.6461538461538462
4,0,42,0,2,6.0,2.0,0.7798,0.0
4,3,29,1,4,4.0,2.0,0.1287,0.15555555555555556
3,2,73,1,5,6.0,4.0,0.2864,0.09523809523809523
3,0,64,0,2,5.0,3.0,0.0863,0.0
1,3,38,1,4,6.0,1.0,0.16,0.2978723404255319
3,4,44,1,3,4.0,1.0,0.0197,0.40476190476190477
3,4,37,1,2,5.0,4.0,0.2922,0.3378121815100149
4,3,52,1,1,2.0,1.0,0.0456,0.2
1,3,36,1,2,9.0,2.0,0.0556,0.5714285714285714
3,4,21,0,4,7.0,2.0,0.0549,0.2903225806451613
3,2,53,1,1,6.0,1.0,0.562,0.09523809523809523
4,4,31,2,3,6.0,3.0,0.109,0.6166666666666667
3,2,67,0,2,5.0,3.0,0.0517,0.24
3,3,66,0,3,5.0,2.0,0.2712,0.55
3,3,42,1,4,5.0,3.0,0.1194,0.5538461538461539
3,3,32,2,1,4.0,2.0,0.1638,0.5384615384615384
3,3,39,0,3,5.0,3.0,0.0724,0.2619047619047619
3,2,33,1,4,9.0,3.0,0.1812,0.24
3,4,24,0,5,9.0,3.0,0.0925,0.14814814814814814
1,1,44,0,3,8.0,3.0,0.1659,0.15625
3,2,57,1,3,6.0,4.0,0.0065,0.2574050803339018
3,2,61,1,3,5.0,1.0,0.1545,0.06451612903225806
2,2,36,1,3,8.0,2.0,0.2648,0.4666666666666667
3,1,38,0,5,6.006293806322415,3.0,0.1047,0.34285714285714286
5,1,36,1,3,6.0,3.0,0.0765,0.3673469387755102
4,3,69,0,4,1.0,4.0,0.0817,0.15217391304347827
3,2,45,1,4,10.0,2.0,0.1985,0.17857142857142858
2,4,37,1,2,5.0,2.0,0.9688,0.4318181818181818
3,2,69,1,1,7.0,1.0,0.0451,0.38636363636363635
3,4,62,1,2,5.0,1.0,0.1199,0.26666666666666666
4,1,69,2,3,7.0,1.0,0.0176,0.17391304347826086
4,2,55,2,3,5.0,2.0,0.1864,0.4666666666666667
3,2,56,1,2,4.0,1.0,0.1718,0.10095197961959125
4,3,43,1,5,4.0,3.0,0.1249,0.22857142857142856
4,3,37,1,4,7.0,1.0,0.1409,0.3404255319148936
4,0,64,2,3,6.0,3.0,0.4898,0.0
3,4,43,1,2,8.0,4.0,0.0428,0.3235294117647059
4,4,49,1,2,8.0,1.0,0.0929,0.2222222222222222
4,1,58,2,3,5.0,1.0,0.1277,0.24444444444444444
5,1,29,0,1,3.0,3.0,0.0059,0.2857142857142857
5,1,23,1,2,7.0,5.0,0.0861,0.05
4,1,41,1,4,7.0,2.0,0.1153,0.09375
3,3,59,0,2,4.0,3.0,0.1253,0.5
4,3,24,1,1,4.0,1.0,0.1815,0.35555555555555557
4,1,69,1,2,7.0,2.0,0.0571,0.2727272727272727
3,4,21,0,3,7.0,2.0,0.0293,0.24
3,2,61,1,3,4.0,3.0,0.1628,0.36538461538461536
3,3,20,0,4,8.0,4.0,0.1378,0.42857142857142855
5,2,51,1,2,2.0,3.0,0.0089,0.21428571428571427
4,2,57,1,2,8.0,3.0,0.2287,0.2727272727272727
4,1,57,0,2,6.0,3.0,0.172,0.37142857142857144
4,2,65,2,5,9.0,4.0,0.1669,0.17857142857142858
1,3,69,0,3,5.0,3.0,0.5482,0.20454545454545456
3,1,58,0,5,3.0,1.0,0.1672,0.21875
3,4,32,0,3,4.0,3.0,0.0637,0.29545454545454547
2,2,26,1,3,5.0,1.0,0.1831,0.16666666666666666
3,2,60,1,3,5.0,1.0,0.1442,0.30303030303030304
4,3,28,1,4,8.0,3.0,0.193,0.09375
3,3,66,1,2,5.0,2.0,0.0381,0.18518518518518517
3,3,24,0,5,7.0,3.0,0.094,0.39285714285714285
2,4,64,0,4,3.0,1.0,0.0371,0.5354025670945157
3,1,65,1,2,8.0,3.0,0.0127,0.25
2,4,31,1,5,4.0,4.0,0.4445,0.14814814814814814
3,2,72,2,1,7.0,1.0,0.2106,0.46875
3,2,29,0,5,8.0,4.0,0.1056,0.24
3,4,69,1,5,3.0,4.0,0.1425,0.3181818181818182
2,4,72,1,4,4.0,3.0,0.115,0.15384615384615385
4,4,41,0,2,6.0,2.0,0.1474,0.2608695652173913
3,0,23,1,5,6.0,4.0,0.0591,0.0
1,3,43,1,3,8.0,2.0,0.1269,0.15142796942938686
3,3,52,2,2,7.0,2.0,0.1509,0.14285714285714285
3,3,71,1,3,8.0,3.0,0.8402,0.11538461538461539
3,2,68,1,3,1.0,2.0,0.0422,0.3888888888888889
3,2,45,2,2,8.0,1.0,0.2803,0.13636363636363635
5,1,37,1,2,8.0,3.0,0.1379,0.37142857142857144
3,3,59,1,2,3.0,3.0,0.1687,0.13636363636363635
4,3,69,1,1,9.0,4.0,0.1627,0.2558139534883721
3,1,35,1,1,6.0,1.0,0.0249,0.38461538461538464
3,2,30,1,2,5.0,3.0,0.1512,0.4827586206896552
4,2,59,2,3,9.0,2.0,0.8558,0.13636363636363635
2,4,54,1,4,8.0,2.0,0.0991,0.4
2,3,45,2,4,6.0,3.0,0.059,0.13636363636363635
4,4,37,0,5,3.0,2.0,0.0462,0.24
3,1,66,1,2,7.0,3.0,0.1486,0.5818181818181818
4,4,38,0,3,8.0,3.0,0.145,0.5272727272727272
2,1,33,0,3,8.0,1.0,0.0139999999999999,0.38636363636363635
1,4,60,1,2,6.0,2.0,0.0597,0.18518518518518517
3,2,68,0,2,9.0,3.0,0.213,0.375
3,1,21,1,4,7.0,2.0,0.04,0.6
5,2,36,2,2,2.0,1.0,0.1974,0.14285714285714285
1,4,43,0,2,8.0,3.0,0.0502,0.28846153846153844
4,4,49,1,3,3.0,3.0,0.0072,0.17391304347826086
3,1,60,1,3,5.0,3.0,0.0459,0.13636363636363635
1,3,57,0,2,8.0,2.0,0.4912,0.6
3,3,55,1,3,3.0,4.0,0.1973,0.2608695652173913
4,3,74,1,2,6.0,2.0,0.1434,0.46938775510204084
5,1,30,1,3,9.0,1.0,0.0895,0.14814814814814814
3,2,25,1,4,6.0,3.0,0.0427,0.37777777777777777
3,4,54,1,2,8.0,3.0,0.1017,0.5076923076923077
1,1,38,1,5,5.0,1.0,0.2523,0.4542839082881606
4,4,69,1,3,7.0,2.0,0.6403,0.5161290322580645
4,1,37,1,2,10.0,3.0,0.102,0.28846153846153844
3,2,63,1,2,8.0,3.0,0.0148,0.3333333333333333
3,3,49,2,4,5.0,1.0,0.1739,0.3170731707317073
4,1,31,1,4,6.0,4.0,0.1282,0.17857142857142858
4,0,35,0,3,8.0,3.0,0.1171,0.0
4,2,74,0,1,9.0,1.0,0.2841,0.32432432432432434
3,2,25,0,2,2.0,4.0,0.4083,0.23333333333333334
2,2,57,0,3,9.0,1.0,0.3468,0.3389830508474576
3,2,36,1,5,5.0,3.0,0.0739,0.07571398471469343
4,4,67,1,1,3.0,1.0,0.2427,0.32432432432432434
1,1,51,1,3,9.0,4.0,0.1983,0.10095197961959125
3,1,64,0,1,10.0,1.0,0.2149,0.05
5,1,30,0,5,6.0,3.0,0.0041,0.17391304347826086
4,2,26,0,3,4.0,3.0,0.1519,0.24
3,1,66,1,2,7.0,1.0,0.1531,0.1935483870967742
5,1,64,0,5,10.0,4.0,0.3332,0.09523809523809523
3,4,57,0,4,7.0,1.0,0.2213,0.18518518518518517
4,3,45,0,3,8.0,1.0,0.1484,0.21875
4,1,38,1,4,5.0,2.0,0.639,0.28125
4,4,28,1,4,6.0,3.0,0.0119,0.3620689655172414
4,3,22,1,3,6.0,2.0,0.1954,0.2558139534883721
3,2,34,0,3,7.0,3.0,0.3743,0.06451612903225806
1,1,33,1,4,9.0,3.0,0.1124,0.55
1,2,56,0,2,8.0,1.0,0.2167,0.11538461538461539
4,1,45,1,3,5.0,3.0,0.1026,0.09523809523809523
1,3,64,1,3,2.0,2.0,0.0015,0.24
4,1,24,0,5,8.0,2.3878952639862643,0.2981,0.4807692307692308
3,1,46,2,3,5.0,4.0,0.0521,0.543859649122807
4,4,74,1,3,5.0,1.0,0.0318,0.24
1,2,45,2,2,7.0,4.0,0.0297,0.11538461538461539
4,1,66,0,2,5.0,2.0,0.1508,0.21428571428571427
5,4,22,1,1,5.0,5.0,0.2246,0.3783783783783784
4,2,44,2,4,6.0,3.0,0.1329,0.5384615384615384
2,2,51,1,1,9.0,1.0,0.0566,0.4090909090909091
3,1,73,1,3,8.0,4.0,0.1497,0.24
5,4,57,1,2,5.0,1.0,0.1622,0.40540540540540543
5,4,34,0,4,2.0,1.0,0.0495,0.09523809523809523
4,3,59,2,4,7.0,4.0,0.1895,0.5272727272727272
3,3,21,1,5,5.0,2.0,0.0974,0.42105263157894735
4,2,61,1,2,6.0,2.0,0.1873,0.11538461538461539
3,0,24,2,2,2.0,2.0,0.1586,0.0
4,2,43,1,3,9.0,4.0,0.2239999999999999,0.24
3,4,47,0,2,4.0,1.0,0.9143,0.17647058823529413
3,3,46,0,3,10.0,4.0,0.0314,0.2702702702702703
4,1,71,1,3,10.0,1.0,0.0207,0.425531914893617
4,1,51,1,5,9.0,3.0,0.0454,0.3611111111111111
3,2,34,2,3,4.0,3.0,0.0582,0.09523809523809523
1,4,26,1,3,4.0,3.0,0.5295,0.4067796610169492
4,2,52,1,4,6.0,1.0,0.1581,0.35294117647058826
