Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,Predicciones
M,52.0,4,Married,Franklin,Accounting and Finance,Analytical,28.0,4,30,0,4,6.0,type2,4.0,1
F,55.0,4,Single,Lebanon,Production,Conceptual,23.0,1,34,1,5,8.0,type2,3.0,1
F,53.0,4,Single,Franklin,Accounting and Finance,Conceptual,19.0,3,53,1,4,10.0,type2,1.0,0
F,63.0,4,Single,Washington,Operarions,Directive,31.0,4,72,0,3,4.0,type3,2.0,1
F,37.0,3,Single,Clinton,Operarions,Directive,11.0,3,67,2,5,8.0,type4,3.0,0
F,63.0,5,Single,Lebanon,Accounting and Finance,Directive,25.0,1,44,0,1,10.0,type2,3.0,1
F,32.0,3,Single,Springfield,Sales,Analytical,9.0,1,67,0,3,9.0,type2,3.0,1
F,22.0,3,Married,Springfield,IT,Analytical,3.0,1,57,0,1,5.0,type3,4.0,1
M,32.0,4,Married,Washington,Logistics,Analytical,9.0,1,38,1,4,5.0,type2,2.0,1
M,60.0,5,Married,Washington,Sales,Analytical,30.0,4,69,1,3,5.0,type2,3.0,1
M,55.0,4,Single,Washington,Purchasing,Behavioral,27.0,2,46,1,3,8.0,type2,1.0,0
F,25.0,1,Married,Lebanon,IT,Behavioral,6.0,2,58,1,1,2.0,type2,3.0,0
F,59.0,3,Married,Springfield,Logistics,Analytical,26.0,4,62,1,4,5.0,type2,1.0,0
F,27.0,2,Single,Lebanon,Logistics,Directive,5.0,4,28,0,2,6.0,type4,1.0,1
F,50.0,2,Married,Franklin,Sales,Behavioral,24.0,3,60,1,3,4.0,type2,1.0,0
M,36.0,4,Married,Lebanon,Operarions,Analytical,8.0,4,49,1,2,8.0,type2,1.0,0
F,42.0,3,Married,Springfield,Logistics,Conceptual,14.0,3,72,1,3,5.0,type2,1.0,0
F,55.0,4,Single,Washington,Security,Analytical,18.0,2,47,0,2,8.0,type2,3.0,0
M,30.0,1,Single,Springfield,R&D,Conceptual,8.0,3,24,0,1,1.0,type2,2.0,1
F,22.0,3,Married,Springfield,Purchasing,Analytical,3.0,3,46,0,2,6.0,type3,1.0,1
F,64.0,3,Married,Franklin,Sales,Analytical,35.0,2,58,1,3,10.0,type4,4.0,0
M,23.0,3,Married,Washington,Accounting and Finance,Conceptual,4.0,1,23,2,3,2.0,type3,4.0,1
M,62.0,3,Married,Springfield,Logistics,Behavioral,31.0,3,41,1,1,8.0,type2,1.0,0
M,60.0,5,Single,Springfield,Logistics,Directive,22.0,1,42,2,3,8.0,type2,2.0,0
F,23.0,3,Single,Washington,Production,Behavioral,4.0,1,29,0,4,8.0,type3,1.0,1
F,26.0,1,Single,Lebanon,Purchasing,Analytical,2.0,2,63,0,3,5.0,type2,1.0,0
M,28.0,4,Married,Franklin,Sales,Behavioral,5.0,4,54,2,4,8.0,type2,1.0,0
M,21.0,2,Single,Springfield,IT,Analytical,2.0,2,65,2,2,8.0,type2,1.0,1
F,65.0,1,Single,Lebanon,Operarions,Behavioral,39.0,4,55,0,1,4.0,type3,4.0,1
F,34.0,1,Married,Lebanon,Sales,Behavioral,10.0,3,44,1,4,8.0,type2,2.0,0
F,23.0,4,Married,Springfield,IT,Directive,4.0,4,30,0,2,9.0,type2,2.0,1
F,60.0,3,Married,Lebanon,R&D,Analytical,30.0,4,68,0,1,6.0,type3,1.0,0
F,59.0,3,Married,Lebanon,R&D,Directive,35.0,4,62,1,1,5.0,type0,2.0,0
F,37.0,4,Single,Springfield,Logistics,Conceptual,12.0,4,59,1,2,4.0,type4,3.0,1
M,58.0,2,Single,Springfield,Accounting and Finance,Behavioral,25.0,3,64,0,3,8.0,type3,3.0,1
M,31.0,1,Married,Springfield,R&D,Directive,8.0,1,54,2,4,3.0,type4,3.0,1
F,27.0,2,Single,Clinton,Sales,Analytical,4.0,4,36,1,2,5.0,type3,3.0,1
M,29.0,3,Single,Lebanon,IT,Behavioral,6.0,4,59,1,3,6.0,type3,3.0,1
F,59.0,3,Married,Springfield,Logistics,Directive,33.0,1,60,1,4,5.0,type2,4.0,1
F,51.0,2,Married,Franklin,Logistics,Analytical,14.0,1,64,1,5,6.0,type2,2.0,1
F,37.0,4,Married,Clinton,R&D,Analytical,14.0,3,71,2,3,5.0,type3,2.0,0
M,30.0,4,Married,Springfield,IT,Conceptual,8.0,1,44,0,5,6.0,type2,1.0,1
F,57.0,5,Married,Washington,Operarions,Directive,20.0,2,35,1,2,5.0,type2,2.0,1
F,64.0,4,Single,Washington,Logistics,Analytical,32.0,1,58,2,3,5.0,type3,3.0,0
F,25.0,1,Married,Lebanon,Logistics,Conceptual,6.0,1,28,1,1,7.0,type2,1.0,0
M,58.0,4,Single,Springfield,Operarions,Analytical,29.0,4,66,2,1,8.0,type3,1.0,0
F,22.0,3,Married,Springfield,Purchasing,Analytical,3.0,3,46,0,2,6.0,type3,1.0,1
M,48.0,4,Single,Washington,IT,Directive,21.0,2,49,0,2,8.0,type3,2.0,0
M,31.0,3,Single,Franklin,Sales,Behavioral,4.0,2,31,1,3,5.0,type2,3.0,0
M,19.0,1,Single,Lebanon,IT,Analytical,0.0,0,40,1,2,4.0,type2,3.0,1
F,36.0,3,Married,Springfield,Operarions,Conceptual,13.0,1,34,1,2,5.0,type3,3.0,1
F,57.0,3,Married,Lebanon,IT,Conceptual,29.0,3,47,2,4,5.0,type2,3.0,0
F,37.0,1,Married,Franklin,Quality,Behavioral,14.0,4,41,1,3,2.0,type2,1.0,0
M,65.0,4,Married,Franklin,Sales,Directive,43.0,2,65,1,2,7.0,type0,3.0,1
F,35.0,1,Single,Franklin,Logistics,Analytical,6.0,1,47,1,3,6.0,type2,3.0,1
F,44.0,1,Single,Franklin,Logistics,Behavioral,9.0,3,69,0,3,5.0,type0,3.0,1
F,32.0,1,Single,Franklin,Purchasing,Conceptual,6.0,3,30,1,1,5.0,type2,4.0,1
M,46.0,3,Married,Lebanon,IT,Analytical,22.0,3,55,1,4,4.0,type2,2.0,0
M,61.0,3,Married,Washington,Human Resource Management,Conceptual,37.0,3,68,1,2,2.0,type4,4.0,0
M,64.0,3,Single,Washington,Accounting and Finance,Conceptual,29.0,4,44,2,1,5.0,type2,1.0,1
M,50.0,4,Single,Springfield,IT,Analytical,28.0,2,39,1,3,8.0,type2,4.0,0
M,22.0,2,Married,Washington,Security,Analytical,3.0,3,20,1,4,3.0,type2,1.0,1
M,22.0,2,Single,Springfield,IT,Conceptual,3.0,3,70,1,3,8.0,type2,1.0,1
F,37.0,3,Married,Franklin,Accounting and Finance,Analytical,15.0,4,44,0,3,8.0,type2,1.0,0
F,25.0,3,Married,Springfield,Logistics,Analytical,6.0,2,39,1,3,7.0,type3,2.0,0
M,27.0,5,Married,Lebanon,Production,Directive,3.0,1,29,0,2,8.0,type3,1.0,0
F,51.0,5,Single,Franklin,Operarions,Analytical,17.0,3,74,1,1,7.0,type2,1.0,1
F,35.0,3,Married,Springfield,Sales,Behavioral,10.0,1,65,0,1,2.0,type2,4.0,1
F,36.0,3,Single,Springfield,Accounting and Finance,Directive,12.0,1,57,1,1,5.0,type2,2.0,1
F,44.0,2,Married,Lebanon,Sales,Behavioral,17.0,4,34,1,1,9.0,type3,4.0,1
F,65.0,5,Single,Springfield,Logistics,Behavioral,37.0,2,32,0,3,6.0,type4,4.0,1
F,44.0,4,Single,Washington,Logistics,Analytical,16.0,4,32,0,3,6.0,type2,1.0,1
F,50.0,2,Married,Franklin,Human Resource Management,Directive,11.0,2,38,0,1,7.0,type3,3.0,0
M,55.0,3,Married,Springfield,Operarions,Conceptual,17.0,3,23,0,1,4.0,type2,2.0,1
M,27.0,3,Single,Clinton,Operarions,Directive,5.0,1,67,2,2,2.0,type3,4.0,1
F,60.0,3,Married,Clinton,Logistics,Directive,35.0,1,65,1,1,6.0,type3,2.0,0
F,40.0,4,Married,Springfield,Marketing,Directive,13.0,4,29,1,5,10.0,type2,1.0,0
M,38.0,1,Single,Lebanon,Production,Conceptual,9.0,1,37,1,3,8.0,type2,3.0,1
M,42.0,4,Married,Lebanon,IT,Directive,14.0,1,65,1,2,6.0,type3,4.0,1
M,51.0,1,Married,Lebanon,Logistics,Conceptual,14.0,2,23,0,3,5.0,type2,1.0,0
M,31.0,5,Married,Springfield,R&D,Directive,5.0,4,28,1,4,8.0,type2,3.0,1
M,27.0,2,Married,Springfield,IT,Directive,5.0,3,55,2,5,4.0,type3,2.0,1
F,21.0,4,Married,Clinton,Operarions,Directive,2.0,2,22,1,4,4.0,type3,2.0,0
F,46.0,1,Married,Washington,Logistics,Behavioral,7.0,2,53,1,2,6.0,type2,3.0,0
M,65.0,3,Single,Lebanon,IT,Directive,41.0,3,34,0,1,7.0,type3,2.0,1
F,47.0,2,Married,Franklin,Accounting and Finance,Conceptual,11.0,1,71,0,3,8.0,type3,4.0,1
F,65.0,1,Single,Lebanon,Operarions,Behavioral,39.0,4,55,0,1,4.0,type3,4.0,1
F,65.0,1,Single,Franklin,Operarions,Directive,33.0,2,70,1,2,4.0,type2,1.0,1
F,26.0,4,Married,Washington,Operarions,Analytical,2.0,2,44,2,4,6.0,type4,4.0,1
M,26.0,3,Married,Franklin,R&D,Conceptual,4.0,3,54,1,3,9.0,type2,1.0,1
F,45.0,1,Single,Franklin,IT,Conceptual,20.0,4,72,2,2,7.0,type3,2.0,1
F,54.0,5,Married,Lebanon,Purchasing,Directive,19.0,1,39,1,4,4.0,type3,5.0,0
M,30.0,3,Married,Clinton,Accounting and Finance,Directive,8.0,1,64,2,3,6.0,type3,2.0,0
F,65.0,1,Single,Washington,IT,Directive,29.0,4,41,0,3,7.0,type2,1.0,1
F,54.0,5,Married,Springfield,Sales,Analytical,19.0,1,36,1,3,4.0,type3,3.0,0
F,22.0,4,Married,Springfield,Operarions,Analytical,3.0,3,66,2,3,7.0,type3,2.0,1
M,21.0,3,Married,Washington,R&D,Conceptual,2.0,2,53,1,1,6.0,type2,1.0,0
M,59.0,3,Married,Lebanon,Operarions,Analytical,22.0,3,30,0,2,8.0,type3,1.0,0
F,35.0,3,Married,Washington,Production,Analytical,13.0,4,61,0,1,8.0,type3,2.0,1
F,30.0,3,Married,Franklin,R&D,Directive,8.0,2,32,1,2,6.0,type2,1.0,1
M,37.0,2,Single,Springfield,Operarions,Behavioral,12.0,1,69,1,1,1.0,type2,1.0,0
M,31.0,4,Married,Washington,Purchasing,Conceptual,7.0,4,40,1,1,4.0,type3,1.0,1
F,54.0,1,Married,Washington,Purchasing,Analytical,15.0,3,27,1,3,8.0,type0,1.0,0
F,39.0,2,Single,Lebanon,Sales,Conceptual,10.0,4,63,1,3,9.0,type2,3.0,0
M,20.0,3,Married,Springfield,Operarions,Behavioral,1.0,1,68,0,3,8.0,type2,2.0,0
M,65.0,3,Married,Lebanon,Purchasing,Analytical,28.0,2,59,1,5,8.0,type3,2.0,0
F,37.0,3,Single,Washington,R&D,Conceptual,13.0,3,36,0,5,2.0,type2,4.0,0
M,41.0,3,Married,Washington,Marketing,Behavioral,8.0,4,39,1,1,5.0,type2,1.0,0
F,25.0,1,Married,Clinton,Logistics,Behavioral,6.0,2,39,0,3,7.0,type0,4.0,0
F,36.0,2,Single,Washington,R&D,Conceptual,9.0,1,20,0,3,6.0,type2,3.0,0
F,25.0,3,Single,Lebanon,IT,Analytical,6.0,2,38,1,4,5.0,type2,2.0,0
M,37.0,3,Single,Lebanon,R&D,Conceptual,11.0,1,59,0,3,5.0,type2,3.0,1
M,37.0,4,Single,Springfield,Logistics,Analytical,13.0,4,52,1,2,3.0,type2,2.0,0
M,27.0,3,Married,Franklin,Security,Analytical,5.0,1,63,1,5,7.0,type2,3.0,1
F,29.0,3,Married,Franklin,IT,Behavioral,7.0,2,70,1,5,7.0,type2,3.0,0
F,44.0,1,Married,Springfield,Purchasing,Analytical,21.0,4,61,1,1,10.0,type2,1.0,0
F,52.0,4,Married,Franklin,IT,Conceptual,16.0,4,53,0,5,6.0,type2,1.0,1
F,30.0,3,Married,Franklin,Logistics,Conceptual,7.0,2,40,0,3,5.0,type2,3.0,0
F,65.0,3,Married,Springfield,Logistics,Analytical,26.0,3,32,2,3,5.0,type3,2.0,0
M,31.0,4,Married,Washington,Accounting and Finance,Directive,9.0,1,55,0,2,6.0,type2,1.0,1
F,51.0,3,Single,Lebanon,IT,Analytical,22.0,4,32,1,2,8.0,type2,1.0,1
M,28.0,3,Single,Springfield,Logistics,Directive,6.0,4,63,0,2,8.0,type3,4.0,0
M,64.0,4,Single,Franklin,R&D,Analytical,35.0,2,41,1,3,8.0,type2,1.0,1
M,64.0,3,Married,Franklin,Human Resource Management,Analytical,38.0,4,43,1,4,5.0,type3,3.0,0
M,60.0,2,Single,Lebanon,Logistics,Directive,25.0,3,41,1,3,10.0,type2,2.0,0
M,34.0,3,Single,Franklin,R&D,Directive,5.0,1,57,0,2,6.0,type3,1.0,0
M,45.0,4,Married,Springfield,Logistics,Directive,12.0,3,27,0,1,6.0,type3,5.0,0
F,58.0,1,Single,Springfield,Logistics,Behavioral,33.0,1,36,1,1,7.0,type2,3.0,1
M,26.0,2,Married,Franklin,Logistics,Conceptual,3.0,3,38,1,2,7.0,type3,4.0,1
F,60.0,3,Single,Springfield,R&D,Directive,38.0,3,59,0,4,5.0,type3,4.0,0
F,56.0,5,Single,Lebanon,Sales,Conceptual,26.0,2,59,1,2,7.0,type2,3.0,1
M,38.0,4,Married,Lebanon,Production,Directive,12.0,4,64,0,2,6.0,type2,1.0,0
M,30.0,4,Married,Franklin,Sales,Directive,6.0,1,58,1,2,7.0,type4,3.0,0
M,64.0,4,Single,Franklin,R&D,Analytical,35.0,2,41,1,3,8.0,type2,1.0,1
M,26.0,4,Married,Lebanon,Sales,Behavioral,3.0,3,41,0,5,5.0,type3,2.0,1
F,44.0,2,Married,Lebanon,Sales,Behavioral,17.0,4,34,1,1,9.0,type3,4.0,1
F,58.0,3,Single,Franklin,Logistics,Analytical,30.0,2,69,1,4,5.0,type2,3.0,1
M,53.0,5,Single,Clinton,R&D,Analytical,24.0,4,25,2,1,8.0,type2,2.0,0
F,35.0,4,Married,Clinton,Purchasing,Behavioral,7.0,4,67,0,2,7.0,type2,3.0,1
M,27.0,4,Single,Lebanon,Logistics,Analytical,3.0,3,20,2,2,7.0,type2,4.0,1
F,46.0,5,Single,Lebanon,IT,Directive,19.0,2,23,1,3,7.0,type1,4.0,1
M,48.0,4,Married,Lebanon,Sales,Directive,15.0,4,72,0,4,7.0,type2,1.0,0
M,27.0,1,Single,Lebanon,Logistics,Behavioral,3.0,3,32,1,2,6.0,type2,4.0,1
F,19.0,4,Married,Franklin,Sales,Conceptual,0.0,0,65,1,3,5.0,type3,2.0,1
F,36.0,4,Married,Franklin,IT,Conceptual,12.0,3,46,1,5,5.0,type3,4.0,1
M,24.0,1,Single,Franklin,Operarions,Conceptual,5.0,2,39,2,1,5.0,type3,3.0,1
M,62.0,4,Single,Franklin,Marketing,Conceptual,28.0,2,32,1,1,6.0,type3,3.0,1
F,64.0,4,Married,Washington,Logistics,Behavioral,33.0,4,44,1,2,7.0,type2,1.0,0
F,47.0,4,Single,Washington,Logistics,Analytical,8.0,4,41,0,3,5.0,type2,1.0,1
F,32.0,4,Married,Lebanon,IT,Behavioral,9.0,3,27,1,5,5.0,type2,2.0,1
F,54.0,4,Married,Franklin,IT,Behavioral,24.0,1,58,1,2,6.0,type3,3.0,1
M,36.0,4,Single,Lebanon,IT,Directive,14.0,1,42,1,3,7.0,type3,3.0,0
F,24.0,3,Married,Clinton,Purchasing,Analytical,5.0,4,64,1,3,7.0,type2,3.0,1
F,33.0,2,Married,Clinton,Logistics,Directive,5.0,3,49,2,3,4.0,type2,3.0,1
F,41.0,2,Married,Washington,Accounting and Finance,Directive,12.0,3,61,1,2,6.0,type2,1.0,1
F,19.0,5,Married,Springfield,R&D,Directive,0.0,0,52,1,1,8.0,type2,2.0,1
M,55.0,2,Married,Springfield,IT,Conceptual,31.0,1,38,1,2,8.0,type3,1.0,0
M,60.0,3,Married,Washington,Logistics,Directive,24.0,2,34,1,2,6.0,type2,3.0,1
M,65.0,4,Married,Lebanon,Sales,Directive,42.0,3,43,1,3,6.0,type3,1.0,1
F,33.0,3,Married,Washington,Operarions,Directive,11.0,2,60,1,2,5.0,type3,1.0,0
F,38.0,3,Single,Lebanon,IT,Analytical,10.0,4,60,1,3,6.0,type3,5.0,1
F,27.0,2,Married,Franklin,IT,Directive,5.0,2,55,2,4,5.0,type2,2.0,0
F,60.0,3,Married,Springfield,Accounting and Finance,Analytical,27.0,2,46,1,3,8.0,type2,1.0,1
F,35.0,3,Married,Washington,Production,Analytical,13.0,4,61,0,1,8.0,type3,2.0,1
M,45.0,1,Single,Lebanon,Quality,Conceptual,10.0,2,38,1,2,9.0,type2,1.0,1
M,47.0,2,Married,Springfield,Purchasing,Conceptual,23.0,1,65,1,1,6.0,type2,3.0,0
F,42.0,3,Married,Lebanon,Sales,Behavioral,11.0,4,57,1,1,4.0,type2,4.0,0
F,54.0,2,Single,Springfield,Operarions,Conceptual,32.0,1,74,1,4,6.0,type2,3.0,1
F,59.0,4,Single,Washington,IT,Behavioral,27.0,1,44,1,3,4.0,type2,3.0,0
F,28.0,1,Single,Lebanon,Sales,Analytical,6.0,3,42,0,2,5.0,type3,3.0,1
F,25.0,4,Married,Washington,IT,Analytical,6.0,4,37,1,2,5.0,type3,1.0,0
F,25.0,1,Single,Springfield,IT,Analytical,6.0,3,64,1,3,2.0,type1,2.0,0
F,56.0,3,Married,Lebanon,R&D,Analytical,20.0,1,26,1,1,7.0,type2,1.0,1
M,29.0,3,Single,Franklin,Sales,Conceptual,6.0,4,45,0,3,7.0,type3,4.0,1
F,37.0,4,Single,Springfield,Accounting and Finance,Behavioral,11.0,2,29,1,2,7.0,type2,4.0,0
M,42.0,3,Married,Clinton,IT,Directive,5.0,4,56,2,1,7.0,type2,1.0,1
F,59.0,3,Single,Clinton,IT,Directive,28.0,2,20,1,1,4.0,type2,1.0,1
M,52.0,5,Single,Franklin,IT,Analytical,19.0,1,58,2,3,8.0,type2,1.0,0
M,33.0,4,Married,Springfield,Logistics,Analytical,10.0,3,49,0,3,3.0,type3,2.0,0
M,21.0,3,Married,Franklin,Operarions,Directive,2.0,2,24,2,5,4.0,type3,3.0,1
F,60.0,3,Married,Lebanon,Sales,Conceptual,31.0,3,36,0,3,2.0,type2,4.0,1
M,25.0,4,Single,Lebanon,Purchasing,Conceptual,6.0,4,35,1,3,4.0,type4,1.0,0
M,60.0,5,Married,Lebanon,IT,Behavioral,30.0,1,71,0,2,5.0,type2,1.0,0
M,20.0,1,Married,Franklin,R&D,Behavioral,1.0,1,54,1,3,7.0,type3,1.0,1
F,21.0,4,Single,Springfield,Operarions,Conceptual,2.0,2,44,1,5,6.0,type2,2.0,0
F,57.0,5,Single,Lebanon,Operarions,Directive,20.0,1,41,1,3,4.0,type2,2.0,0
M,29.0,2,Married,Lebanon,Logistics,Analytical,5.0,1,27,1,3,7.0,type2,3.0,0
M,34.0,3,Married,Clinton,Sales,Behavioral,8.0,4,63,0,2,1.0,type2,2.0,0
F,29.0,5,Married,Franklin,Logistics,Conceptual,6.0,4,55,0,5,6.0,type0,4.0,0
M,23.0,3,Single,Springfield,Operarions,Conceptual,4.0,3,45,1,2,10.0,type2,3.0,1
F,39.0,3,Single,Springfield,Operarions,Directive,17.0,3,74,2,3,5.0,type2,3.0,1
F,42.0,1,Married,Washington,Logistics,Analytical,10.0,1,42,1,2,4.0,type2,3.0,1
F,21.0,2,Married,Lebanon,Quality,Directive,2.0,2,43,1,5,2.0,type2,1.0,0
M,28.0,5,Married,Franklin,IT,Behavioral,5.0,3,64,1,3,6.0,type3,1.0,0
M,64.0,3,Married,Lebanon,Operarions,Directive,29.0,3,72,1,1,2.0,type0,1.0,0
F,37.0,5,Married,Lebanon,Purchasing,Directive,10.0,2,72,0,4,6.0,type2,3.0,0
F,35.0,3,Married,Springfield,Production,Analytical,7.0,2,70,1,4,5.0,type2,1.0,0
F,22.0,5,Single,Lebanon,Sales,Analytical,3.0,1,41,0,1,6.0,type0,1.0,1
F,59.0,5,Married,Clinton,Sales,Behavioral,35.0,2,51,0,5,8.0,type2,2.0,0
M,23.0,3,Married,Springfield,Logistics,Directive,4.0,1,62,0,3,6.0,type2,1.0,0
M,35.0,3,Married,Franklin,R&D,Behavioral,10.0,3,21,1,3,6.0,type2,2.0,0
F,60.0,3,Married,Springfield,IT,Behavioral,23.0,2,55,1,5,4.0,type2,2.0,1
F,23.0,4,Married,Washington,IT,Directive,4.0,3,22,0,2,10.0,type2,2.0,1
M,58.0,3,Married,Franklin,Sales,Analytical,31.0,1,33,1,1,5.0,type2,4.0,0
F,19.0,5,Married,Springfield,R&D,Directive,0.0,0,52,1,1,8.0,type2,2.0,1
F,48.0,1,Married,Washington,Logistics,Directive,23.0,2,45,1,2,7.0,type2,4.0,0
F,41.0,2,Married,Franklin,Logistics,Behavioral,3.0,1,44,0,3,8.0,type2,1.0,0
F,34.0,3,Single,Lebanon,IT,Behavioral,7.0,2,67,1,4,6.0,type3,4.0,0
F,52.0,2,Married,Lebanon,IT,Analytical,23.0,2,53,1,1,7.0,type2,1.0,1
F,56.0,1,Single,Lebanon,Quality,Conceptual,28.0,4,38,1,3,8.0,type3,1.0,1
M,24.0,4,Married,Washington,Logistics,Conceptual,5.0,3,49,1,1,4.0,type2,2.0,0
F,59.0,3,Married,Franklin,Marketing,Conceptual,21.0,3,32,1,3,6.0,type2,2.0,1
F,28.0,2,Married,Lebanon,Human Resource Management,Conceptual,5.0,3,64,0,1,5.0,type2,2.0,1
M,54.0,1,Married,Clinton,Operarions,Directive,24.0,2,69,1,3,9.0,type2,4.0,0
F,21.0,3,Married,Springfield,Logistics,Conceptual,2.0,1,71,1,2,5.0,type2,1.0,0
M,25.0,3,Married,Washington,Operarions,Behavioral,6.0,2,59,1,5,5.0,type1,1.0,1
F,49.0,3,Single,Washington,Operarions,Behavioral,26.0,4,46,1,3,7.0,type2,2.0,1
F,26.0,3,Married,Lebanon,Sales,Conceptual,2.0,2,57,1,2,8.0,type2,2.0,0
M,41.0,4,Single,Springfield,Operarions,Directive,13.0,3,43,0,3,5.0,type2,3.0,1
M,46.0,5,Married,Lebanon,IT,Directive,21.0,2,38,2,5,9.0,type3,2.0,0
M,53.0,4,Single,Springfield,Accounting and Finance,Behavioral,26.0,4,31,1,1,5.0,type1,2.0,1
F,51.0,3,Single,Washington,Logistics,Analytical,25.0,1,73,1,5,9.0,type2,2.0,1
F,59.0,1,Single,Lebanon,Logistics,Behavioral,27.0,2,22,0,4,9.0,type3,3.0,0
F,38.0,4,Married,Springfield,Logistics,Analytical,11.0,2,59,1,3,4.0,type0,3.0,1
M,19.0,3,Single,Lebanon,Operarions,Analytical,0.0,0,42,2,2,2.0,type2,2.0,0
M,41.0,4,Single,Springfield,Operarions,Directive,13.0,3,43,0,3,5.0,type2,3.0,1
M,60.0,2,Single,Franklin,IT,Analytical,30.0,1,37,0,4,8.0,type3,1.0,0
F,45.0,4,Married,Springfield,Operarions,Behavioral,13.0,1,32,1,1,8.0,type3,3.0,1
F,22.0,5,Single,Lebanon,Sales,Analytical,3.0,1,41,0,1,6.0,type0,1.0,1
M,28.0,1,Married,Franklin,Logistics,Analytical,4.0,1,51,1,5,4.0,type2,2.0,0
F,37.0,3,Married,Springfield,Operarions,Directive,12.0,2,38,1,3,5.0,type2,1.0,1
F,28.0,4,Single,Springfield,Purchasing,Behavioral,6.0,2,36,2,2,2.0,type2,4.0,1
F,21.0,5,Married,Springfield,Human Resource Management,Conceptual,2.0,1,64,0,5,10.0,type2,4.0,1
M,21.0,4,Married,Lebanon,R&D,Behavioral,2.0,2,59,0,4,2.0,type2,1.0,0
F,26.0,3,Married,Washington,Production,Behavioral,4.0,1,30,1,3,2.0,type2,3.0,1
M,52.0,4,Married,Franklin,Accounting and Finance,Analytical,28.0,4,30,0,4,6.0,type2,4.0,1
F,55.0,4,Married,Franklin,Logistics,Analytical,27.0,4,21,1,4,2.0,type3,4.0,1
F,53.0,5,Married,Washington,IT,Analytical,15.0,1,73,1,3,2.0,type3,2.0,0
F,23.0,5,Married,Franklin,IT,Behavioral,4.0,2,54,1,1,5.0,type2,1.0,0
F,45.0,3,Married,Franklin,Sales,Analytical,7.0,1,40,1,3,2.0,type3,4.0,0
F,37.0,4,Married,Franklin,R&D,Directive,11.0,3,49,0,1,8.0,type2,1.0,1
M,20.0,4,Single,Springfield,Logistics,Behavioral,1.0,1,68,2,3,3.0,type2,2.0,1
F,36.0,2,Single,Lebanon,Operarions,Directive,11.0,1,33,1,3,4.0,type3,2.0,1
F,42.0,4,Married,Washington,IT,Conceptual,7.0,2,60,1,1,4.0,type2,2.0,1
F,37.0,1,Married,Springfield,R&D,Analytical,13.0,1,49,0,4,8.0,type2,1.0,0
M,28.0,3,Married,Lebanon,Sales,Directive,4.0,1,48,0,3,1.0,type0,1.0,1
F,31.0,5,Married,Springfield,Logistics,Behavioral,2.0,2,57,1,2,8.0,type2,3.0,0
F,41.0,5,Married,Springfield,Sales,Behavioral,5.0,1,36,1,4,9.0,type2,1.0,0
F,29.0,2,Married,Springfield,IT,Behavioral,5.0,3,40,1,3,5.0,type0,1.0,1
F,54.0,4,Married,Springfield,IT,Analytical,24.0,1,60,0,5,7.0,type3,1.0,0
F,53.0,3,Married,Franklin,IT,Analytical,18.0,3,30,1,2,10.0,type4,4.0,0
M,28.0,4,Married,Lebanon,Sales,Analytical,5.0,2,61,1,3,8.0,type3,1.0,0
F,42.0,3,Married,Lebanon,Sales,Directive,20.0,3,22,2,3,9.0,type3,1.0,1
F,60.0,1,Married,Springfield,R&D,Analytical,35.0,4,40,0,3,6.0,type1,1.0,0
F,23.0,3,Single,Washington,Production,Behavioral,4.0,1,29,0,4,8.0,type3,1.0,1
F,52.0,4,Married,Franklin,IT,Conceptual,16.0,4,53,0,5,6.0,type2,1.0,1
F,54.0,2,Married,Springfield,R&D,Conceptual,26.0,4,54,1,4,6.0,type2,4.0,0
M,33.0,5,Single,Lebanon,Purchasing,Directive,5.0,4,33,1,4,4.0,type3,2.0,1
F,30.0,3,Married,Franklin,Sales,Behavioral,8.0,3,34,1,4,5.0,type4,3.0,1
M,54.0,2,Married,Springfield,R&D,Directive,27.0,3,59,1,2,5.0,type2,1.0,0
F,45.0,1,Single,Franklin,Logistics,Behavioral,16.0,1,73,1,4,8.0,type2,2.0,0
F,65.0,3,Married,Washington,Human Resource Management,Directive,36.0,4,63,1,3,6.0,type2,1.0,0
F,25.0,3,Single,Franklin,IT,Conceptual,6.0,4,21,0,3,7.0,type3,2.0,0
M,23.0,4,Married,Lebanon,Marketing,Directive,4.0,2,23,1,3,5.0,type2,2.0,1
F,65.0,5,Married,Clinton,Operarions,Directive,34.0,1,52,2,3,5.0,type3,2.0,1
M,22.0,3,Married,Clinton,Operarions,Conceptual,3.0,3,67,1,2,9.0,type2,3.0,1
F,42.0,4,Married,Franklin,Sales,Conceptual,19.0,4,36,0,4,8.0,type2,1.0,0
F,51.0,3,Married,Springfield,Sales,Conceptual,24.0,1,49,2,3,1.0,type2,5.0,1
M,32.0,1,Married,Lebanon,R&D,Analytical,5.0,4,24,1,3,5.0,type2,3.0,1
M,23.0,3,Single,Springfield,Operarions,Conceptual,4.0,3,45,1,2,10.0,type2,3.0,1
F,55.0,5,Single,Franklin,Operarions,Directive,23.0,3,67,1,1,7.0,type3,3.0,1
F,58.0,4,Married,Springfield,IT,Behavioral,32.0,4,63,0,2,6.0,type2,1.0,0
